original,new
"18600 BLOCK RHINE PL, CERRITOS, CA",
2000 BLOCK RIVER,
RIVERBED NEAR 605 FREEWAY / SOUTH ST,
6900 BLOCK E ROBLE ST,
6600 BLOCK ROSE AVE,
1400 BLOCK ROSE AVE,
"1500 BLOCK ROSE AVE, LONG BEACH CA",
"1800 BLOCK ROSE AVE, LONG BEACH CA",
"1400 BLOCK ROSE AVE, LONG BEACH CA",
400 BLOCK ROSE PL,
"5700 BLOCK E ROSEBAY ST, LONG BEACH CA",
"7600 BLOCK ROSECRANS AVE, PARAMOUNT CA",
ROSIES DOG BEACH NEAR WATER,
"1000 BLOCK ROSWELL AVE, LONG BEACH CA",
"400 BLOCK ROSWELL AVE, LONG BEACH, CA",
800 ROXANNE,
3100 BLOCK ROXANNE AVE,
3200 BLOCK ROXANNE AVE,
3000 BLOCK ROXANNE AVE,
1900 BLOCK ROXANNE AVE,
"3100 BLOCK ROXANNE AVE, LONG BEACH CA",
"3500 BLOCK ROXANNE, LONG BEACH CA",
300 BLOCK ROYCROFT AVE,
4300 BLOCK RUTGERS,
"3600 BLOCK RUTGERS AVE, LONG BEACH",
S HARBOR SCENIC DR,
19600 BLOCK SABRINA CT,
1000 BLOCK SAINT LOUIS AVE,
"6400 BLOCK SAINT LOUIS AVE, LONG BEACH CA",
"2000 BLOCK SAINT LOUIS AVE, SIGNAL HILL",
"700 BLOCK SAINT LOUIS ST, LONG BEACH CA",
19700 BLOCK SALLY AVE,
"1000 BLOCK E SALT LAKE ST, LONG BEACH",
"1100 BLOCK E SALT LAKE, LONG BEACH CA",
2100 SAN ANSELINE,
3000 SAN ANSELINE,
"400 BLOCK E SAN ANTONIO AVE, LONG BEACH CA",
100 BLOCK W SAN ANTONIO DR,
"500 BLOCK W SAN ANTONIO DR, LONG BEACH CA",
"1100 BLOCK E SAN ANTONIO DR, LONG BEACH, CA",
2400 BLOCK SAN FRANCISCO,
3000 BLOCK SAN FRANCISCO AVE,
"2700 BLOCK SAN FRANCISCO AVE, LONG BEACH CA",
"1400 SAN FRANCISCO AVE, LONG BEACH CA",
"1800 BLOCK SAN FRANCISCO AVE, LONG BEACH CA",
"2900 BLOCK SAN FRANCISCO AVE, LONG BEACH CA",
18800 SAN GABRIEL,
"17800 BLOCK SAN GABRIEL AVE, CERRITOS CA",
"2000 SAN GABRIEL AVE, LONG BEACH CA",
"2000 BLOCK SAN GABRIEL AVE, LONG BEACH, CA",
"700 BLOCK SAN PABLO CT, LONG BEACH CA",
"12200 BLOCK SANDY ROCK ST, CERRITOS CA",
"10400 BLOCK SANTA CLARA ST, CYPRESS CA",
3300 BLOCK SANTA FE,
2800 BLOCK SANTA FE,
3100 BLOCK SANTA FE AVE,
3500 BLOCK SANTA FE AVE,
1880 SANTA FE AVE,
2600 BLOCK SANTA FE AVE,
SANTA FE AVE / ANAHEIM ST,
2900 SANTA FE AVE LONG BEACH CA,
"2001 SANTA FE AVE, LONG BEACH",
"4000 BLOCK SANTA FE AVE, LONG BEACH CA",
"3500 BLOCK SANTA FE AVE, LONG BEACH CA",
"1300 BLOCK SANTA FE AVE, LONG BEACH CA",
"3400 BLOCK SANTA FE AVE, LONG BEACH CA",
"1800 BLOCK SANTA FE AVE, LONG BEACH CA",
"3300 BLOCK SANTA FE AVE, LONG BEACH CA",
"3200 BLOCK SANTA FE AVE, LONG BEACH, CA",
"3600 BLOCK SANTA FE, LONG BEACH,CA",
1000 SANTIAGO,
400 BLOCK SANTIAGO AVE,
"700 BLOCK SANTIAGO AVE, LONG BEACH CA",
"3100 BLOCK E SAWYER ST, LONG BEACH CA",
710 SB AT WILLOW,
"100 BLOCK E SCOTT ST, LONG BEACH CA",
"5700 BLOCK E SCRIVENER ST, LONG BEACH",
"2300 BLOCK SEABRIGHT AVE, LONG BEACH CA",
"2500 BLOCK SEABRIGHT AVE, LONG BEACH CA",
800 SEAL BEACH BLVD,
900 SEAL BEACH BLVD,
"12400 BLOCK SEAL BEACH BLVD, SEAL BEACH CA",
"SEAL BEACH BLVD, WESTMINSTER BLVD",
SEAL BEACH LIFEGUARDS,
6900 BLOCK SEASIDE WALK,
"6900 BLOCK E SEASIDE WALK, LONG BEACH, CA",
3800 BLOCK SEBREN,
3000 BLOCK SECOND ST,
12500 SEMORA,
"3200 BLOCK SENASAC AVE, LONG BEACH CA",
"300 BLOCK E SGORELINE DR, LONG BEACH CA",
SHELTER CAT,
1700 BLOCK SHERMAN PL,
"1700 BLOCK SHERMAN PL, LONG BEACH",
"1600 BLOCK SHERMAN PL, LONG BEACH CA",
"1700 BLOCK SHERMAN PL, LONG BEACH CA",
3500 BLOCK SHIPWAY AVE,
"1800 BLOCK SHIPWAY AVE, LONG BEACH CA",
"400 BLOCK E SHORELINE AVE, LONG BEACH",
200 BLOCK E SHORELINE DR,
400 BLOCK SHORELINE DR,
400 BLOCK E SHORELINE DR,
"400 BLOCK E SHORELINE DR, LONG BEACH CA",
"450 E SHORELINE DR, LONG BEACH CA",
"400 BLOCK E SHORELINE DR, LONG BEACH, CA",
"400 BLOCK E SHORELINE DRIVE, LONG BEACH, CA",
SHORELINE VILLAGE 300 E SHORELINE,
400 BLOCK E SHORELINE VILLAGE DR,
400 BLOCK SHORELINE VILLAGE DR,
"700 BLOCK E SHORELINE, LONG BEACH CA",
2750 SIGNAL PKWY,
"900 BLOCK SILVA ST, LONG BEACH CA",
"700 BLOCK E SILVA ST, LONG BEACH CA",
"1400 BLOCK E SILVA ST, LONG BEACH CA",
SKYLINE / HILL,
"2500 BLOCK SKYLINE AVE, SIGNAL HILL CA",
"3000 BLOCK SNOWDEN AVE, LONG BEACH CA",
"2100 SNOWDEN AVE, LONG BEACH CA",
"2800 BLOCK SNOWDEN AVE, LONG BEACH CA",
800 E SOUTH,
10700 SOUTH,
SOUTH / STUDEBAKER,
300 BLOCK E SOUTH ST,
1300 BLOCK E SOUTH ST,
10700 BLOCK SOUTH ST,
10700 SOUTH ST,
11400 BLOCK SOUTH ST,
1100 BLOCK E SOUTH ST,
12900 SOUTH ST,
2800 BLOCK SOUTH ST,
11300 BLOCK SOUTH ST,
11500 SOUTH ST,
"10700 BLOCK SOUTH ST, CERRITOS CA",
"300 BLOCK E SOUTH ST, LONG BEACH CA",
"1000 BLOCK SOUTH ST, LONG BEACH CA",
"3516 E SOUTH ST, LONG BEACH, CA",
"2000 BLOCK SPARROW HILL LN, LAKEWOOD",
3000 E SPAULDING,
2700 BLOCK E SPAULDING ST,
"2500 BLOCK E SPAULDING ST, LONG BEACH CA",
"2100 BLOCK E SPAULDING ST, LONG BEACH CA",
"2900 BLOCK E SPAULDING ST, LONG BEACH, CA",
"5900 BLOCK SPINNAKER BAY DR, LONG BEACH, CA",
7500 E SPRING,
7700 E SPRING,
7200 E SPRING,
5800 E SPRING,
7550 E SPRING,
SPRING / 605 FWY,
"SPRING / STUDEBAKER RD, LONG BEACH",
7700 BLOCK E SPRING ST,
100 BLOCK E SPRING ST,
7500 BLOCK SPRING ST,
6500 BLOCK E SPRING ST,
7700 E SPRING ST,
7700 SPRING ST,
7600 E SPRING ST,
7700 BLOCK SPRING ST,
5000 BLOCK SPRING ST,
7500 SPRING ST,
7550 E SPRING ST,
7500 BLOCK E SPRING ST,
6800 E SPRING ST,
SPRING ST / LOS ALAMITOS BLVD,
SPRING ST / PALO VERDE,
7700 E SPRING ST LONG BEACH,
"6500 BLOCK E SPRING ST, LONG BEACH",
"7500 BLOCK SPRING ST, LONG BEACH",
"7700 BLOCK E SPRING ST, LONG BEACH",
"7700 E SPRING ST, LONG BEACH CA",
"7500 BLOCK E SPRING ST, LONG BEACH CA",
"7700 BLOCK E SPRING ST, LONG BEACH CA",
"100 BLOCK E SPRING ST, LONG BEACH CA",
"7600 BLOCK E SPRING ST, LONG BEACH CA",
"7500 BLOCK SPRING ST, LONG BEACH CA",
"1300 BLOCK E SPRING ST, LONG BEACH CA",
"1200 BLOCK E SPRING ST, LONG BEACH CA",
"7700 BLOCK SPRING ST, LONG BEACH CA",
"7500 BLOCK E SPRING ST, LONG BEACH, CA",
"7550 E SPRING ST, LONG BEACH, CA 908O5",
"700 BLOCK E SPRING ST, SIGNAL HILL CA",
7700 E SPRING STREET,
7000 BLOCK E SPRING STREET,
1700 BLOCK N SPRING STREET CERRITOS,
7000 BLOCK SPRING STREET LONG BEACH CA,
3200 BLOCK N SPRINGDALE DR,
"3100 BLOCK SPRINGDALE DR, LONG BEACH CA",
2600 STANBRIDGE AVE,
"2100 BLOCK STANBRIDGE AVE, LONG BEACH, CA",
"5400 BLOCK STANBRIDGE AVE, LONG BEACH, CA",
1300 BLOCK STANLEY AVE,
1100 BLOCK STANLEY AVE,
2200 BLOCK STANLEY AVE,
"600 BLOCK STANLEY AVE, LONG BEACH CA",
"1100 BLOCK STANLEY AVE, LONG BEACH CA",
"1300 BLOCK STANLEY AVE, LONG BEACH CA",
"1700 BLOCK STANLEY AVE, LONG BEACH CA",
"800 BLOCK STANLEY AVE, LONG BEACH, CA 908",
"2200 BLOCK STANLEY AVE, SIGNAL HILL, CA",
"1500 BLOCK STANTON AVE, LONG BEACH CA",
"1500 BLOCK STANTON PL, LONG BEACH CA",
"6300 E STATE UNIVERSITY DR, LONG BEACH, CA",
2300 BLOCK STEARNLEE AVE,
6400 E STEARNS,
3400 BLOCK E STEARNS,
"6300 BLOCK E STEARNS ST, LONG BEACH CA",
"6900 BLOCK STEARNS ST, LONG BEACH CA",
"6300 BLOCK E STEARNS ST, LONG BEACH, CA",
1300 STEVELY,
3300 STEVELY,
3400 BLOCK STEVELY AVE,
"3000 BLOCK STEVELY AVE, LONG BEACH CA",
"3300 BLOCK STEVELY AVE, LONG BEACH CA",
"3500 BLOCK STEVELY AVE, LONG BEACH, CA",
"1900 BLOCK STEVELY AVE, LONG BEACH,CA",
"12600 BLOCK STILLMAN ST, LAKEWOOD CA",
"3000 BLOCK STUDEBACKER RD, LONG BEACH CA",
2700 N STUDEBAKER,
3800 BLOCK N STUDEBAKER,
2800 N STUDEBAKER,
2800 BLOCK STUDEBAKER,
2400 STUDEBAKER,
2800 STUDEBAKER,
3100 BLOCK STUDEBAKER,
2600 N STUDEBAKER,
STUDEBAKER,
1100 BLOCK N STUDEBAKER,
2600 STUDEBAKER,
2700 N STUDEBAKER RD,
18900 BLOCK STUDEBAKER RD,
19000 BLOCK STUDEBAKER RD,
1700 BLOCK N STUDEBAKER RD,
2600 BLOCK STUDEBAKER RD,
19200 BLOCK STUDEBAKER RD,
STUDEBAKER RD / LOYNES,
"17300 BLOCK STUDEBAKER RD, CERRITOS CA",
"2800 BLOCK STUDEBAKER RD, LONG BEACH",
"3400 BLOCK STUDEBAKER RD, LONG BEACH",
"2600 BLOCK STUDEBAKER RD, LONG BEACH CA",
"3000 BLOCK STUDEBAKER RD, LONG BEACH CA",
"2200 BLOCK STUDEBAKER RD, LONG BEACH CA",
"3200 BLOCK STUDEBAKER RD, LONG BEACH CA",
"2900 BLOCK N STUDEBAKER RD, LONG BEACH, CA",
"2800 BLOCK N STUDEBAKER RD, LONG BEACH, CA",
"2400 BLOCK STUDEBAKER RD, LONG BEACH, CA",
"1400 BLOCK STUDEBAKER RD,LONG BEACH",
2600 BLOCK N STUDEBAKER ROAD,
12400 BLOCK SUMMERWIND ST,
"1500 W SUMMIT ST, LONG BEACH CA",
"1400 BLOCK W SUMMIT ST, LONG BEACH CA",
"1500 BLOCK W SUMMIT ST, LONG BEACH, CA",
4800 BLOCK SUNFIELD AVE,
"SUNSET / CEDAR LONG BEACH,CA",
27 SURFSIDE AVE,
100 BLOCK SURFSIDE DR,
20000 BLOCK S SUSANA RD,
"13000 BLOCK SUTTON ST, CERRITOS CA",
"13200 BLOCK SUTTON ST, CERRITOS CA",
17900 BLOCK SYBRANDY AVE,
"5400 BLOCK TANGLEWOOD ST, LONG BEACH CA",
8000 BLOCK TARMA ST,
1100 TEMPLE,
1100 BLOCK TEMPLE AVE,
1200 BLOCK TEMPLE AVE,
"1400 BLOCK TEMPLE AVE, LONG BEACH CA",
"1800 BLOCK TEMPLE, SH CA",
1400 BLOCK TERMINO AVE,
"1400 BLOCK TERMINO AVE, LONG BEACH",
"1800 BLOCK TERMINO AVE, LONG BEACH CA",
"1000 BLOCK TERMINO AVE, LONG BEACH CA",
"17400 BLOCK TERRY LYN LN, CERRITOS CA",
8200 TEVA,
"2300 TEVIS AVE, LONG BEACH, CA 90815, CA",
100 BLOCK THE PROMENADE,
"2900 BLOCK E THOMPSON ST, LONG BEACH CA",
"20000 BLOCK THORNLAKE AVE, CERRITOS CA",
"8100 BLOCK E TIMOR ST, LONG BEACH CA",
200 TIVOLI,
"3900 BLOCK TOLAND CIR, LOS ALAMITOS CA",
12601 TOWN CENTER DR,
5000 TOYON BAY,
100 W TRAFFORD,
"11 TRAFFORD ST, LONG BEACH CA",
TRANSFER FROM ANOTHER SHELTER,
TRANSFER FROM SPCALA,
300 TREMONT,
"1700 BLOCK TRIBUNE CT, LONG BEACH CA",
"8200 BLOCK TULA AVE, LONG BEACH CA",
2200 TULANE,
4300 TULANE,
"2700 BLOCK TULANE AVE, LONG BEACH",
"8100 BLOCK E TURBO ST, LONG BEACH CA",
UNK,
5700 E VERNON,
5700 BLOCK VERNON ST,
"200 BLOCK E VERNON ST, LONG BEACH",
"600 BLOCK VIA BAROLA , LONG BEACH CA",
900 BLOCK VIA CARMELITOS,
"4000 BLOCK E VIA ORO, LONG BEACH CA",
1100 BLOCK E VIA WANDA,
1000 BLOCK VIA WANDA,
1000 BLOCK E VIA WANDA,
17300 VICKIE,
100 BLOCK W VICTORIA ST,
"1600 BLOCK VICTORY RD, TUSTIN CA",
"00 BLOCK VIRGIL WALK,,LONG BEACH CA",
"4000 BLOCK VIRGINA AVE, LONG BEACH",
"1100 BLOCK VIRGINA CT, LONG BEACH CA",
4600 BLOCK N VIRGINA RD,
"11100 BLOCK VIRGINIA AVE, LYNWOOD CA",
4600 BLOCK VIRGINIA RD,
4100 BLOCK VIRGINIA RD,
"3300 BLOCK E VISTA ST, LONG BEACH CA",
"6300 BLOCK VISTA, LONG BEACH CA",
3400 VOLK,
"1900 BLOCK VUELTA GRANDE AVE, LONG BEACH CA",
"2300 BLOCK VUELTA GRANDE AVE, LONG BEACH CA",
W TRAFFORD ST,
2200 BLOCK WALNUT,
5800 WALNUT,
1400 BLOCK WALNUT AVE,
2200 WALNUT AVE,
6500 BLOCK WALNUT AVE,
600 BLOCK WALNUT AVE,
2200 BLOCK WALNUT AVE,
"1300 BLOCK WALNUT AVE, LONG BEACH",
"400 BLOCK WALNUT AVE, LONG BEACH CA",
"1400 WALNUT AVE, LONG BEACH CA",
"5600 BLOCK WALNUT AVE, LONG BEACH CA",
"1700 BLOCK WALNUT AVE, LONG BEACH CA",
"1400 BLOCK WALNUT AVE, LONG BEACH, CA",
"1900 BLOCK WALNUT AVE, LONG BEACH, CA",
"2200 BLOCK WALNUT AVE, SIGNAL HILL CA",
"2700 BLOCK WALNUT AVE, SIGNAL HILL, CA",
"1600 BLOCK E WALNUT AVE, SIGNAL HILL, CA 90",
"10600 BLOCK WALNUT ST, LOS ALAMITOS CA",
"1000 BLOCK WALNUT, LONG BEACH, CA",
"6100 BLOCK E WALTON ST, LONG BEACH CA",
2200 W WARDLOW,
6600 BLOCK E WARDLOW RD,
7575 WARDLOW RD,
"3500 BLOCK WARDLOW RD, LONG BEACH",
"7800 BLOCK E WARDLOW RD, LONG BEACH CA",
"7700 BLOCK E WARDLOW RD, LONG BEACH CA",
"2000 BLOCK WARDLOW RD, LONG BEACH CA",
"8100 BLOCK E WARDLOW RD, LONG BEACH CA",
"1100 BLOCK WARDLOW RD, LONG BEACH CA",
"2100 BLOCK W WARDLOW RD, LONG BEACH, CA",
"6400 BLOCK E WARDLOW RD, LONG BEACH, CA",
"7500 BLOCK E WARDLOW RD, LONG BEACH, CA",
"6600 BLOCK E WARDLOW RD, LONG BEACH, CA",
7000 BLOCK WARDLOW ROAD LONG BEACH CA 908,
"1400 BLOCK WARREN AVE, LONG BEACH, CA",
"700 BLOCK N WASHINGTON PL, LONG BEACH, CA",
1700 BLOCK WASHINGTON ST,
"2700 BLOCK WEBSTER AVE, LONG BEACH CA",
"2300 BLOCK WEBSTER AVE, LONG BEACH CA",
"2900 BLOCK WEBSTER AVE, LONG BEACH CA",
"15000 BLOCK WEDGEWORTH DR, HACIENDA HEIGHTS CA",
140 WELCOME LN,
"1200 BLOCK WESLEY DR, LONG BEACH CA",
"1200 BLOCK E WESLEY DR, LONG BEACH CA",
"1500 BLOCK WEST SUMMIT ST, LONG BEACH, CA",
3800 WESTON PL,
3800 BLOCK WESTON PL,
"6200 BLOCK WHITE AVE, LONG BEACH, CA",
"14200 BLOCK WHITEROCK DR, LA MIRADA CA",
4300 WHITEWOOD,
"2100 BLOCK W WILLARD ST, LONG BEACH CA",
2500 E WILLOW,
7800 E WILLOW,
1800 E WILLOW,
4100 E WILLOW,
"700 BLOCK W WILLOW AVE, LONG BEACH CA",
"1600 BLOCK E WILLOW AVE, SIGNAL HILL, CA",
4200 E WILLOW ST,
3100 BLOCK E WILLOW ST,
1600 BLOCK E WILLOW ST,
4100 BLOCK E WILLOW ST,
1300 BLOCK W WILLOW ST,
"2000 BLOCK E WILLOW ST, LONG BEACH",
"4100 BLOCK E WILLOW ST, LONG BEACH CA",
"1200 W WILLOW ST, LONG BEACH CA",
"6400 BLOCK WILLOW ST, LONG BEACH CA",
"5100 BLOCK WILLOW ST, LONG BEACH CA",
"101 E WILLOW ST, LONG BEACH, CA",
"1600 BLOCK E WILLOW ST, SIGNAL HILL CA",
"2200 BLOCK E WILLOW ST, SIGNAL HILL CA",
"3300 BLOCK E WILLOW, LONG BEACH",
"1100 BLOCK E WILLOW, SIGNAL HILL CA",
1800 BLOCK W WILMA PL,
"3400 BLOCK E WILTON ST, LONG BEACH CA",
300 WINNIPEG PL,
"300 BLOCK WINSLOW AVE, LONG BEACH CA",
400 BLOCK WISCONSIN,
WOODRUFF,
3100 WOODRUFF,
3100 BLOCK WOODRUFF AVE,
1600 BLOCK WOODRUFF AVE,
"3000 BLOCK WOODRUFF AVE, LONG BEACH CA",
"3200 BLOCK WOODRUFF AVE, LONG BEACH, CA",
"8100 BLOCK WOODSON ST, LONG BEACH",
"1800 BLOCK XIMENO AVE, LONG BEACH CA",
"2200 BLOCK XIMENO AVE, LONG BEACH CA",
"400 BLOCK XIMENO AVE, LONG BEACH CA",
12200 YEARLING,
17600 YVETTE,
17000 BLOCK YVETTE AVE,
2400 BLOCK ZANDIA AVE,
